iter	Passed	Remaining
463	2705	3125
464	2710	3119
465	2717	3114
466	2723	3108
467	2728	3101
468	2734	3096
469	2740	3090
470	2746	3084
471	2752	3078
472	2757	3072
473	2762	3065
474	2768	3060
475	2774	3054
476	2780	3048
477	2786	3042
478	2791	3036
479	2797	3030
480	2804	3025
481	2809	3018
482	2814	3012
483	2820	3006
484	2826	3001
485	2832	2995
486	2837	2989
487	2842	2982
488	2848	2976
489	2854	2970
490	2860	2965
491	2865	2959
492	2870	2952
493	2876	2946
494	2882	2940
495	2889	2935
496	2894	2929
497	2900	2923
498	2905	2917
499	2911	2911
500	2917	2906
501	2922	2899
502	2928	2893
503	2934	2887
504	2940	2882
505	2949	2879
506	2954	2873
507	2960	2867
508	2966	2861
509	2972	2855
510	2980	2851
511	2986	2846
512	2992	2840
513	2997	2834
514	3003	2828
515	3009	2823
516	3015	2817
517	3020	2810
518	3025	2804
519	3031	2798
520	3037	2792
521	3043	2786
522	3048	2780
523	3054	2774
524	3060	2768
525	3066	2763
526	3072	2757
527	3077	2751
528	3083	2745
529	3088	2738
530	3094	2733
531	3100	2727
532	3105	2721
533	3110	2714
534	3116	2708
535	3122	2703
536	3127	2696
537	3132	2689
538	3137	2683
539	3143	2677
540	3149	2672
541	3156	2666
542	3161	2660
543	3167	2654
544	3172	2648
545	3179	2644
546	3185	2637
547	3190	2631
548	3196	2625
549	3201	2619
550	3208	2614
551	3214	2608
552	3219	2602
553	3224	2595
554	3230	2590
555	3236	2584
556	3241	2577
557	3246	2571
558	3252	2565
559	3257	2559
560	3264	2554
561	3269	2548
562	3275	2542
563	3280	2535
564	3286	2530
565	3292	2524
566	3298	2518
567	3303	2512
568	3308	2506
569	3314	2500
570	3320	2494
571	3325	2488
572	3331	2482
573	3336	2476
574	3341	2470
575	3348	2464
576	3353	2458
577	3359	2452
578	3364	2446
579	3370	2440
580	3377	2435
581	3382	2429
582	3387	2423
583	3393	2417
584	3399	2411
585	3405	2406
586	3411	2399
587	3416	2393
588	3422	2388
589	3428	2382
590	3434	2376
591	3439	2370
592	3444	2364
593	3449	2357
594	3455	2351
595	3461	2346
596	3467	2340
597	3472	2334
598	3477	2328
599	3483	2322
600	3489	2316
601	3494	2310
602	3499	2304
603	3505	2298
604	3511	2292
605	3518	2287
606	3523	2281
607	3528	2274
608	3534	2269
609	3539	2263
610	3546	2257
611	3552	2252
612	3557	2246
613	3563	2240
614	3569	2234
615	3575	2228
616	3580	2222
617	3587	2217
618	3592	2211
619	3597	2205
620	3604	2199
621	3609	2193
622	3614	2187
623	3619	2181
624	3625	2175
625	3631	2169
626	3636	2163
627	3641	2157
628	3646	2150
629	3652	2144
630	3658	2139
631	3664	2133
632	3670	2127
633	3676	2122
634	3682	2116
635	3689	2111
636	3695	2105
637	3701	2100
638	3708	2095
639	3714	2089
640	3733	2091
641	3739	2085
642	3745	2079
643	3751	2073
644	3758	2068
645	3765	2063
646	3771	2057
647	3776	2051
648	3781	2045
649	3787	2039
650	3793	2033
651	3799	2027
652	3804	2021
653	3809	2015
654	3815	2009
655	3821	2004
656	3827	1998
657	3833	1992
658	3838	1986
659	3844	1980
660	3851	1975
661	3857	1969
662	3862	1963
663	3868	1957
664	3874	1951
665	3881	1946
666	3886	1940
667	3894	1935
668	3900	1930
669	3908	1925
670	3916	1920
671	3923	1914
672	3930	1909
673	3937	1904
674	3944	1899
675	3951	1893
676	3956	1887
677	3961	1881
678	3967	1875
679	3972	1869
680	3978	1863
681	3984	1857
682	3989	1851
683	3994	1845
684	4000	1839
685	4006	1833
686	4011	1827
687	4016	1821
688	4022	1815
689	4027	1809
690	4034	1803
691	4039	1797
692	4045	1792
693	4050	1786
694	4056	1780
695	4062	1774
696	4068	1768
697	4074	1762
698	4079	1756
699	4084	1750
700	4091	1745
701	4097	1739
702	4102	1733
703	4107	1727
704	4113	1721
705	4118	1715
706	4124	1709
707	4130	1703
708	4135	1697
709	4140	1691
710	4147	1685
711	4152	1679
712	4157	1673
713	4163	1667
714	4173	1663
715	4180	1658
716	4186	1652
717	4193	1646
718	4198	1640
719	4205	1635
720	4212	1630
721	4218	1624
722	4223	1618
723	4229	1612
724	4235	1606
725	4242	1601
726	4247	1595
727	4253	1589
728	4259	1583
729	4265	1577
730	4272	1572
731	4278	1566
732	4284	1560
733	4289	1554
734	4295	1548
735	4302	1543
736	4307	1537
737	4313	1531
738	4318	1525
739	4324	1519
740	4330	1513
741	4335	1507
742	4340	1501
743	4346	1495
744	4352	1489
745	4358	1484
746	4363	1478
747	4369	1472
748	4375	1466
749	4380	1460
750	4386	1454
751	4391	1448
752	4396	1442
753	4402	1436
754	4408	1430
755	4414	1424
756	4420	1418
757	4425	1412
758	4430	1406
759	4436	1401
760	4442	1395
761	4448	1389
762	4453	1383
763	4459	1377
764	4464	1371
765	4471	1366
766	4477	1360
767	4482	1354
768	4487	1348
769	4492	1342
770	4499	1336
771	4504	1330
772	4509	1324
773	4514	1318
774	4520	1312
775	4527	1306
776	4532	1300
777	4538	1294
778	4543	1288
779	4548	1283
780	4555	1277
781	4561	1271
782	4566	1265
783	4571	1259
784	4576	1253
785	4583	1247
786	4588	1241
787	4594	1236
788	4600	1230
789	4605	1224
790	4611	1218
791	4617	1212
792	4622	1206
793	4627	1200
794	4632	1194
795	4638	1188
796	4644	1182
797	4649	1177
798	4654	1170
799	4660	1165
800	4666	1159
801	4672	1153
802	4677	1147
803	4682	1141
804	4689	1135
805	4695	1130
806	4700	1124
807	4705	1118
808	4711	1112
809	4716	1106
810	4722	1100
811	4727	1094
812	4733	1088
813	4739	1082
814	4744	1076
815	4750	1071
816	4756	1065
817	4761	1059
818	4767	1053
819	4772	1047
820	4779	1041
821	4784	1036
822	4790	1030
823	4795	1024
824	4801	1018
825	4808	1012
826	4813	1007
827	4818	1001
828	4824	995
829	4830	989
830	4837	983
831	4842	977
832	4847	971
833	4853	965
834	4858	960
835	4865	954
836	4871	948
837	4876	942
838	4881	936
839	4889	931
840	4899	926
841	4904	920
842	4910	914
843	4915	908
844	4920	902
845	4926	896
846	4932	890
847	4937	885
848	4942	879
849	4947	873
850	4954	867
851	4959	861
852	4964	855
853	4970	849
854	4975	843
855	4982	838
856	4988	832
857	4993	826
858	4998	820
859	5004	814
860	5010	808
861	5016	803
862	5021	797
863	5027	791
864	5033	785
865	5039	779
866	5044	773
867	5050	767
868	5055	762
869	5060	756
870	5067	750
871	5072	744
872	5077	738
873	5083	732
874	5089	727
875	5095	721
876	5101	715
877	5106	709
878	5113	703
879	5119	698
880	5125	692
881	5131	686
882	5136	680
883	5142	674
884	5150	669
885	5156	663
886	5162	657
887	5168	651
888	5173	645
889	5179	640
890	5185	634
891	5191	628
892	5196	622
893	5202	616
894	5207	610
895	5213	605
896	5219	599
897	5224	593
898	5229	587
899	5234	581
900	5241	575
901	5246	570
902	5251	564
903	5257	558
904	5269	553
905	5282	548
906	5288	542
907	5295	536
908	5301	530
909	5307	524
910	5315	519
911	5322	513
912	5331	508
913	5347	503
914	5353	497
915	5360	491
916	5367	485
917	5372	479
918	5383	474
919	5400	469
920	5418	464
921	5426	459
922	5442	454
923	5461	449
924	5466	443
925	5473	437
926	5478	431
927	5484	425
928	5489	419
929	5495	413
930	5501	407
931	5506	401
932	5512	395
933	5517	389
934	5522	383
935	5528	378
936	5534	372
937	5539	366
938	5545	360
939	5550	354
940	5557	348
941	5562	342
942	5567	336
943	5573	330
944	5579	324
945	5585	318
946	5591	312
947	5597	307
948	5602	301
949	5607	295
950	5613	289
951	5619	283
952	5625	277
953	5630	271
954	5636	265
955	5642	259
956	5648	253
957	5653	247
958	5659	241
959	5665	236
960	5672	230
961	5678	224
962	5684	218
963	5689	212
964	5695	206
965	5701	200
966	5707	194
967	5713	188
968	5718	182
969	5724	177
970	5731	171
971	5736	165
972	5741	159
973	5747	153
974	5752	147
975	5761	141
976	5766	135
977	5772	129
978	5777	123
979	5783	118
980	5790	112
981	5796	106
982	5801	100
983	5807	94
984	5813	88
985	5820	82
986	5825	76
987	5831	70
988	5836	64
989	5842	59
990	5849	53
991	5854	47
992	5859	41
993	5865	35
994	5871	29
995	5878	23
996	5883	17
997	5888	11
998	5893	5
999	5898	0
