iter	RMSE
0	438.1912854
1	416.4520811
2	396.1707277
3	377.265845
4	359.4738309
5	343.335502
6	328.3675077
7	314.1710071
8	301.0082769
9	288.794698
10	277.496737
11	267.3541888
12	257.6584027
13	248.7158457
14	240.3555443
15	232.8464996
16	225.787691
17	219.0205928
18	212.8932043
19	207.5646457
20	201.5753073
21	196.8718206
22	191.9678428
23	188.1224407
24	184.0488145
25	180.4822573
26	177.1386726
27	174.3953685
28	171.3448469
29	168.7548703
30	166.5298389
31	164.3842517
32	162.2457273
33	159.7132949
34	157.9813871
35	156.1882391
36	154.3998489
37	152.3742031
38	150.6729817
39	149.429512
40	147.3005002
41	146.1870154
42	144.9788142
43	143.8299612
44	142.1180081
45	140.6622757
46	138.9933111
47	137.8190062
48	136.529664
49	135.5192803
50	134.3100812
51	133.2549307
52	132.2560783
53	131.4067902
54	130.7043024
55	129.9124185
56	129.3586759
57	128.6575175
58	127.6404147
59	127.1704831
60	126.8217599
61	125.7643194
62	124.6806683
63	123.8392646
64	123.5463284
65	123.0511474
66	122.4533977
67	121.2077575
68	120.6315089
69	120.137349
70	119.6745837
71	119.2475609
72	118.4247043
73	117.9854638
74	117.2292837
75	116.4097586
76	115.9312078
77	115.4216215
78	115.0099467
79	114.5255226
80	114.0650689
81	113.4069717
82	113.093941
83	112.7669572
84	112.1032543
85	111.7660172
86	111.2331706
87	110.9062315
88	110.5313271
89	110.0432417
90	109.6786997
91	109.4739004
92	109.1375518
93	108.5847136
94	108.3484501
95	108.0050551
96	107.5417049
97	107.0887552
98	106.9465759
99	106.5296348
100	105.9823026
101	105.4926417
102	105.131488
103	104.5925853
104	104.2131268
105	103.8496686
106	103.4623488
107	103.3218721
108	103.0066362
109	102.5033457
110	102.1486275
111	101.6365906
112	101.1259819
113	100.7725108
114	100.3574014
115	100.0618903
116	99.72938892
117	99.44016163
118	98.88318639
119	98.53150162
120	98.42024579
121	98.11525934
122	97.76543597
123	97.40518715
124	96.915631
125	96.44541978
126	96.10763348
127	95.74025612
128	95.57967341
129	95.38285747
130	95.01935016
131	94.63670255
132	94.29333649
133	93.98602572
134	93.61161503
135	93.20607985
136	92.96666611
137	92.67084129
138	92.28189888
139	92.0417981
140	91.72432075
141	91.45793937
142	91.12717605
143	90.90519528
144	90.6192842
145	90.28200279
146	90.05166727
147	89.7780692
148	89.48483479
149	89.03067032
150	88.59590695
151	88.20991361
152	87.9185111
153	87.60688785
154	87.37059499
155	87.10350737
156	86.85751521
157	86.68076561
158	86.48932687
159	86.26220826
160	85.68652846
161	85.41942459
162	85.12675292
163	84.90273467
164	84.63814268
165	84.28542249
166	83.91712694
167	83.6440092
168	83.37027971
169	83.11538146
170	82.88181729
171	82.72735717
172	82.44637771
173	82.27985004
174	82.01860237
175	81.77404145
176	81.26924144
177	80.82714998
178	80.60793199
179	80.15292215
180	79.99559145
181	79.80084699
182	79.56981824
183	79.38322149
184	79.09688767
185	78.63366408
186	78.33463037
187	78.11662809
188	77.78108228
189	77.4368172
190	77.20550244
191	76.95719415
192	76.72469894
193	76.39738303
194	76.16196225
195	75.91115295
196	75.70210839
197	75.54290112
198	75.21090403
199	74.9141179
200	74.54266504
201	74.33833467
202	74.10641488
203	74.00316849
204	73.77570079
205	73.61912731
206	73.3375852
207	73.06746704
208	72.67283425
209	72.45451713
210	72.27791751
211	72.0955617
212	72.00621629
213	71.68348139
214	71.49920947
215	71.30308829
216	71.19962348
217	70.92417425
218	70.73668832
219	70.56694711
220	70.25152319
221	70.13674513
222	70.02021531
223	69.91347132
224	69.5229773
225	69.22432539
226	69.00828214
227	68.84199713
228	68.76468207
229	68.59579476
230	68.49077782
231	68.33451968
232	68.24325191
233	67.9769578
234	67.83602784
235	67.70238703
236	67.46503024
237	67.21891367
238	66.9297952
239	66.74826634
240	66.58090694
241	66.41676443
242	66.19808601
243	66.10156599
244	65.98773602
245	65.84250568
246	65.68824707
247	65.61148863
248	65.42049874
249	65.19158324
250	64.92342855
251	64.77034476
252	64.67523391
253	64.51628971
254	64.32544775
255	64.10701025
256	64.00231721
257	63.92931029
258	63.76506797
259	63.6258564
260	63.47179132
261	63.34310014
262	63.21860688
263	62.96915015
264	62.8256388
265	62.69271403
266	62.5628493
267	62.52507639
268	62.35356462
269	62.22495119
270	62.06926317
271	61.93642244
272	61.82579787
273	61.74197745
274	61.54145466
275	61.40744949
276	61.25540892
277	61.1809659
278	60.98966791
279	60.84187317
280	60.70624481
281	60.58657414
282	60.41415428
283	60.27385034
284	60.14029858
285	59.9678889
286	59.76619637
287	59.64572681
288	59.53544241
289	59.46851201
290	59.30127538
291	59.15459373
292	59.02913867
293	58.77608555
294	58.55471764
295	58.39576683
296	58.26168119
297	58.03718518
298	57.85590751
299	57.72438413
300	57.61958727
301	57.48521337
302	57.27631177
303	57.1814238
304	57.09613711
305	57.02789512
306	56.86736459
307	56.80550478
308	56.65395763
309	56.53416604
310	56.45716974
311	56.34027174
312	56.12356401
313	55.93671745
314	55.80989184
315	55.66549634
316	55.56189355
317	55.40597703
318	55.3240271
319	55.27370735
320	55.1622132
321	55.0641145
322	54.92234551
323	54.82721992
324	54.71042152
325	54.60124901
326	54.51081282
327	54.36498004
328	54.19329679
329	54.13968662
330	53.98766992
331	53.93204268
332	53.78122288
333	53.69340897
334	53.57372872
335	53.4708271
336	53.29378463
337	53.20946212
338	53.14564731
339	53.03096474
340	52.92793926
341	52.80176
342	52.73738467
343	52.63012858
344	52.48456306
345	52.39289807
346	52.30479663
347	52.17154622
348	52.06611747
349	51.95343559
350	51.87569287
351	51.7749755
352	51.70837134
353	51.59060082
354	51.53981996
355	51.41158461
356	51.22641545
357	51.19380303
358	51.07543207
359	50.9730635
360	50.8788224
361	50.78387797
362	50.67296828
363	50.570342
364	50.45515222
365	50.39312085
366	50.29983399
367	50.16827259
368	50.04833664
369	49.90243345
370	49.82379575
371	49.68004551
372	49.58348358
373	49.4591861
374	49.35362903
375	49.26044439
376	49.22764545
377	49.18871758
378	49.08809719
379	49.03020722
380	48.88030015
381	48.84371015
382	48.80549998
383	48.71956765
384	48.60880295
385	48.55910246
386	48.42014053
387	48.32121682
388	48.20552033
389	48.12294386
390	48.06787144
391	47.99005917
392	47.88794151
393	47.8158372
394	47.73702837
395	47.66393278
396	47.54175949
397	47.51712708
398	47.40555664
399	47.31811187
400	47.30203586
401	47.23986673
402	47.14188506
403	47.02981218
404	46.96128252
405	46.90176176
406	46.81222644
407	46.74533627
408	46.6735666
409	46.61177489
410	46.511121
411	46.42213964
412	46.35031487
413	46.21901574
414	46.16506191
415	46.068607
416	45.98908988
417	45.90812834
418	45.84744965
419	45.76030242
420	45.64410211
421	45.54846102
422	45.50726044
423	45.44040209
424	45.37851924
425	45.31121498
426	45.23216964
427	45.17779496
428	45.09741348
429	45.03694544
430	44.90715068
431	44.81806573
432	44.7774724
433	44.65844215
434	44.5429469
435	44.42360411
436	44.3469207
437	44.28276141
438	44.1765468
439	44.09944812
440	43.99831017
441	43.9128671
442	43.81622197
443	43.73482967
444	43.64972729
445	43.5866455
446	43.4877357
447	43.39631901
448	43.33228155
449	43.27710538
450	43.22686714
451	43.17785313
452	43.06480376
453	42.97232422
454	42.89144973
455	42.80766857
456	42.73984198
457	42.66406128
458	42.5962614
459	42.53895113
460	42.48485728
461	42.41736019
462	42.36508532
463	42.34553954
464	42.29924977
465	42.25409945
466	42.20435146
467	42.1290998
468	42.09018251
469	42.02160412
470	41.95764161
471	41.88811359
472	41.8011599
473	41.72751929
474	41.68072223
475	41.66112144
476	41.56036547
477	41.51218116
478	41.44560544
479	41.39411492
480	41.31399045
481	41.25520054
482	41.18994705
483	41.11223215
484	41.04660964
485	40.98771547
486	40.92517331
487	40.86932803
488	40.80644363
489	40.77653834
490	40.7275895
491	40.65865258
492	40.64504156
493	40.55278565
494	40.47729641
495	40.40648044
496	40.35714415
497	40.26596086
498	40.22460839
499	40.19714065
500	40.124795
501	40.07744862
502	39.96806515
503	39.87538023
504	39.82114671
505	39.77305905
506	39.73767588
507	39.69717247
508	39.63713415
509	39.55603498
510	39.4993071
511	39.4533931
512	39.37762901
513	39.29330288
514	39.27295281
515	39.23876273
516	39.16579246
517	39.0771613
518	38.98635708
519	38.93119123
520	38.8519529
521	38.82715489
522	38.78716077
523	38.71745477
524	38.6250733
525	38.59485307
526	38.51963143
527	38.44732864
528	38.36879725
529	38.29489397
530	38.26560145
531	38.2372427
532	38.18072704
533	38.15981169
534	38.09285023
535	38.02935589
536	37.99957507
537	37.92926415
538	37.89770802
539	37.85626081
540	37.79323459
541	37.7323116
542	37.65812153
543	37.6334365
544	37.55339305
545	37.47966996
546	37.44484046
547	37.39890567
548	37.33367624
549	37.29169319
550	37.22392877
551	37.1562706
552	37.07140593
553	37.02682176
554	36.97772189
555	36.94710623
556	36.88107425
557	36.84877764
558	36.83108065
559	36.77643651
560	36.69732445
561	36.67116886
562	36.61767316
563	36.57233615
